datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/6/2022 11:00:00 PM,1/6/2022 6:00:00 PM,1/7/2022 12:00:00 AM,1/6/2022 7:00:00 PM,MIDATL,37639.9
1/7/2022 12:00:00 AM,1/6/2022 7:00:00 PM,1/7/2022 1:00:00 AM,1/6/2022 8:00:00 PM,MIDATL,36987.5
1/7/2022 1:00:00 AM,1/6/2022 8:00:00 PM,1/7/2022 2:00:00 AM,1/6/2022 9:00:00 PM,MIDATL,36140.7
1/7/2022 2:00:00 AM,1/6/2022 9:00:00 PM,1/7/2022 3:00:00 AM,1/6/2022 10:00:00 PM,MIDATL,34891.7
1/7/2022 3:00:00 AM,1/6/2022 10:00:00 PM,1/7/2022 4:00:00 AM,1/6/2022 11:00:00 PM,MIDATL,33118.9
1/7/2022 4:00:00 AM,1/6/2022 11:00:00 PM,1/7/2022 5:00:00 AM,1/7/2022 12:00:00 AM,MIDATL,31596.0
1/7/2022 5:00:00 AM,1/7/2022 12:00:00 AM,1/7/2022 6:00:00 AM,1/7/2022 1:00:00 AM,MIDATL,30430.3
1/7/2022 6:00:00 AM,1/7/2022 1:00:00 AM,1/7/2022 7:00:00 AM,1/7/2022 2:00:00 AM,MIDATL,29829.0
1/7/2022 7:00:00 AM,1/7/2022 2:00:00 AM,1/7/2022 8:00:00 AM,1/7/2022 3:00:00 AM,MIDATL,29819.3
1/7/2022 8:00:00 AM,1/7/2022 3:00:00 AM,1/7/2022 9:00:00 AM,1/7/2022 4:00:00 AM,MIDATL,30160.3
1/7/2022 9:00:00 AM,1/7/2022 4:00:00 AM,1/7/2022 10:00:00 AM,1/7/2022 5:00:00 AM,MIDATL,30886.6
1/7/2022 10:00:00 AM,1/7/2022 5:00:00 AM,1/7/2022 11:00:00 AM,1/7/2022 6:00:00 AM,MIDATL,32458.6
1/7/2022 11:00:00 AM,1/7/2022 6:00:00 AM,1/7/2022 12:00:00 PM,1/7/2022 7:00:00 AM,MIDATL,34603.7
1/7/2022 12:00:00 PM,1/7/2022 7:00:00 AM,1/7/2022 1:00:00 PM,1/7/2022 8:00:00 AM,MIDATL,36360.9
1/7/2022 1:00:00 PM,1/7/2022 8:00:00 AM,1/7/2022 2:00:00 PM,1/7/2022 9:00:00 AM,MIDATL,37271.6
1/7/2022 2:00:00 PM,1/7/2022 9:00:00 AM,1/7/2022 3:00:00 PM,1/7/2022 10:00:00 AM,MIDATL,37385.6
1/7/2022 3:00:00 PM,1/7/2022 10:00:00 AM,1/7/2022 4:00:00 PM,1/7/2022 11:00:00 AM,MIDATL,37322.2
1/7/2022 4:00:00 PM,1/7/2022 11:00:00 AM,1/7/2022 5:00:00 PM,1/7/2022 12:00:00 PM,MIDATL,37408.7
1/7/2022 5:00:00 PM,1/7/2022 12:00:00 PM,1/7/2022 6:00:00 PM,1/7/2022 1:00:00 PM,MIDATL,37433.5
1/7/2022 6:00:00 PM,1/7/2022 1:00:00 PM,1/7/2022 7:00:00 PM,1/7/2022 2:00:00 PM,MIDATL,37188.1
1/7/2022 7:00:00 PM,1/7/2022 2:00:00 PM,1/7/2022 8:00:00 PM,1/7/2022 3:00:00 PM,MIDATL,36969.7
1/7/2022 8:00:00 PM,1/7/2022 3:00:00 PM,1/7/2022 9:00:00 PM,1/7/2022 4:00:00 PM,MIDATL,37270.5
1/7/2022 9:00:00 PM,1/7/2022 4:00:00 PM,1/7/2022 10:00:00 PM,1/7/2022 5:00:00 PM,MIDATL,38613.2
1/7/2022 10:00:00 PM,1/7/2022 5:00:00 PM,1/7/2022 11:00:00 PM,1/7/2022 6:00:00 PM,MIDATL,40904.9
1/7/2022 11:00:00 PM,1/7/2022 6:00:00 PM,1/8/2022 12:00:00 AM,1/7/2022 7:00:00 PM,MIDATL,40870.5
1/8/2022 12:00:00 AM,1/7/2022 7:00:00 PM,1/8/2022 1:00:00 AM,1/7/2022 8:00:00 PM,MIDATL,40299.9
1/8/2022 1:00:00 AM,1/7/2022 8:00:00 PM,1/8/2022 2:00:00 AM,1/7/2022 9:00:00 PM,MIDATL,39498.7
1/8/2022 2:00:00 AM,1/7/2022 9:00:00 PM,1/8/2022 3:00:00 AM,1/7/2022 10:00:00 PM,MIDATL,38385.1
1/8/2022 3:00:00 AM,1/7/2022 10:00:00 PM,1/8/2022 4:00:00 AM,1/7/2022 11:00:00 PM,MIDATL,36726.8
1/8/2022 4:00:00 AM,1/7/2022 11:00:00 PM,1/8/2022 5:00:00 AM,1/8/2022 12:00:00 AM,MIDATL,35155.8
1/8/2022 5:00:00 AM,1/8/2022 12:00:00 AM,1/8/2022 6:00:00 AM,1/8/2022 1:00:00 AM,MIDATL,33965.7
1/8/2022 6:00:00 AM,1/8/2022 1:00:00 AM,1/8/2022 7:00:00 AM,1/8/2022 2:00:00 AM,MIDATL,33315.4
1/8/2022 7:00:00 AM,1/8/2022 2:00:00 AM,1/8/2022 8:00:00 AM,1/8/2022 3:00:00 AM,MIDATL,33038.1
1/8/2022 8:00:00 AM,1/8/2022 3:00:00 AM,1/8/2022 9:00:00 AM,1/8/2022 4:00:00 AM,MIDATL,33071.5
1/8/2022 9:00:00 AM,1/8/2022 4:00:00 AM,1/8/2022 10:00:00 AM,1/8/2022 5:00:00 AM,MIDATL,33443.1
1/8/2022 10:00:00 AM,1/8/2022 5:00:00 AM,1/8/2022 11:00:00 AM,1/8/2022 6:00:00 AM,MIDATL,34334.2
1/8/2022 11:00:00 AM,1/8/2022 6:00:00 AM,1/8/2022 12:00:00 PM,1/8/2022 7:00:00 AM,MIDATL,35597.8
1/8/2022 12:00:00 PM,1/8/2022 7:00:00 AM,1/8/2022 1:00:00 PM,1/8/2022 8:00:00 AM,MIDATL,36778.0
